question_number,question_title,question_code,expected_output,difficulty,points
1,"Logical AND Condition","#include <stdio.h>
int main() {
    int a = 5, b = 10;
    if(a < b && b > 5)
        printf(""%d"", a + b);
    else
        printf(""%d"", a - b);
    return 0;
}","15","Easy",5
2,"Array Element Sum","#include <stdio.h>
int main() {
    int arr[] = {1, 2, 3, 4, 5};
    printf(""%d"", arr[2] + arr[4]);
    return 0;
}","8","Easy",5
3,"String Length Counter","#include <stdio.h>
int main() {
    char str[] = ""TEST"";
    int count = 0;
    for(int i = 0; str[i] != '\0'; i++)
        count++;
    printf(""%d"", count);
    return 0;
}","4","Easy",5
4,"Switch Case","#include <stdio.h>
int main() {
    int x = 7;
    switch(x) {
        case 5: printf(""Five""); break;
        case 7: printf(""Seven""); break;
        default: printf(""Other"");
    }
    return 0;
}","Seven","Easy",5
5,"While Loop Sum","#include <stdio.h>
int main() {
    int i = 1, sum = 0;
    while(i <= 5) {
        sum += i;
        i++;
    }
    printf(""%d"", sum);
    return 0;
}","15","Easy",5
6,"Function Multiplication","#include <stdio.h>
int multiply(int a, int b) {
    return a * b;
}
int main() {
    printf(""%d"", multiply(4, 5));
    return 0;
}","20","Easy",5
7,"Even Odd Check","#include <stdio.h>
int main() {
    int num = 10;
    if(num % 2 == 0)
        printf(""Even"");
    else
        printf(""Odd"");
    return 0;
}","Even","Easy",5
8,"Array Loop Print","#include <stdio.h>
int main() {
    int arr[3] = {5, 10, 15};
    for(int i = 0; i < 3; i++)
        printf(""%d "", arr[i]);
    return 0;
}","5 10 15","Easy",5
9,"Ternary Operator","#include <stdio.h>
int main() {
    int x = 3, y = 0;
    y = (x == 3) ? 10 : 20;
    printf(""%d"", y);
    return 0;
}","10","Easy",5
10,"Character ASCII Value","#include <stdio.h>
int main() {
    char ch = 'A';
    printf(""%d"", ch);
    return 0;
}","65","Easy",5
11,"Factorial Calculation","#include <stdio.h>
int main() {
    int n = 3, fact = 1;
    for(int i = 1; i <= n; i++)
        fact *= i;
    printf(""%d"", fact);
    return 0;
}","6","Easy",5
12,"Integer Division","#include <stdio.h>
int main() {
    int a = 15, b = 4;
    printf(""%d"", a / b);
    return 0;
}","3","Easy",5
13,"Addition Assignment","#include <stdio.h>
int main() {
    int x = 10;
    x += 5;
    printf(""%d"", x);
    return 0;
}","15","Easy",5
